Count;Date;Timestamp;Type;Available;Registered;CI;PCI;TAC;ASU;CQI;RSRP;RSRQ;RSSI;RSSNR;TA;Bandwith;NCI;MCC;MNC;ARFCN;CSI_RSRP;CSI_RSRQ;CSI_SINR;CSI_RSRP_dbm;SS_RSRP;SS_RSRQ;SS_SINR;LEVEL
0;18-12-2020_02:18:42:350;1608301122332;LTE;LTE;;0;49;0;57;0;-83;-14;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;18-12-2020_02:18:42:350;1608301122332;LTE;LTE;;0;not available;0;58;0;-82;-6;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;18-12-2020_02:18:42:373;1608301122363;LTE;LTE;;0;49;0;57;0;-83;-14;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;18-12-2020_02:18:42:373;1608301122363;LTE;LTE;;0;not available;0;58;0;-82;-6;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;18-12-2020_02:18:42:396;1608301122385;LTE;LTE;;0;49;0;57;0;-83;-14;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;18-12-2020_02:18:42:396;1608301122385;LTE;LTE;;0;not available;0;58;0;-82;-6;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;18-12-2020_02:18:43:371;1608301123337;LTE;LTE;;0;49;0;57;0;-83;-14;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;18-12-2020_02:18:43:371;1608301123337;LTE;LTE;;0;not available;0;58;0;-82;-6;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;18-12-2020_02:18:43:638;1608301123587;LTE;LTE;;0;49;0;57;0;-83;-14;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;18-12-2020_02:18:43:638;1608301123587;LTE;LTE;;0;not available;0;58;0;-82;-6;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;18-12-2020_02:18:44:445;1608301124401;LTE;LTE;;0;49;0;57;0;-83;-14;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;18-12-2020_02:18:44:445;1608301124401;LTE;LTE;;0;not available;0;58;0;-82;-6;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;18-12-2020_02:18:44:623;1608301124579;LTE;LTE;;0;49;0;57;0;-83;-14;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;18-12-2020_02:18:44:623;1608301124579;LTE;LTE;;0;not available;0;58;0;-82;-6;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;18-12-2020_02:18:45:486;1608301125468;LTE;LTE;;0;49;0;57;0;-83;-14;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;18-12-2020_02:18:45:486;1608301125468;LTE;LTE;;0;not available;0;58;0;-82;-6;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;18-12-2020_02:18:45:494;1608301125468;LTE;LTE;;0;49;0;57;0;-83;-14;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;18-12-2020_02:18:45:494;1608301125468;LTE;LTE;;0;not available;0;58;0;-82;-6;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
1;18-12-2020_02:18:46:136;1608301126115;LTE;LTE;;0;49;0;51;0;-89;-14;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
1;18-12-2020_02:18:46:136;1608301126115;LTE;LTE;;0;not available;0;53;0;-87;-6;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
1;18-12-2020_02:18:46:136;1608301126115;LTE;LTE;;0;230;0;43;0;-97;-11;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
1;18-12-2020_02:18:46:538;1608301126506;LTE;LTE;;0;49;0;51;0;-89;-14;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
1;18-12-2020_02:18:46:538;1608301126506;LTE;LTE;;0;not available;0;53;0;-87;-6;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
1;18-12-2020_02:18:46:538;1608301126506;LTE;LTE;;0;230;0;43;0;-97;-11;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
1;18-12-2020_02:18:46:581;1608301126561;LTE;LTE;;0;49;0;51;0;-89;-14;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
1;18-12-2020_02:18:46:581;1608301126561;LTE;LTE;;0;not available;0;53;0;-87;-6;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
1;18-12-2020_02:18:46:581;1608301126561;LTE;LTE;;0;230;0;43;0;-97;-11;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
1;18-12-2020_02:18:47:655;1608301127573;LTE;LTE;;0;49;0;51;0;-89;-14;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
1;18-12-2020_02:18:47:655;1608301127573;LTE;LTE;;0;not available;0;53;0;-87;-6;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
1;18-12-2020_02:18:47:655;1608301127573;LTE;LTE;;0;230;0;43;0;-97;-11;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
1;18-12-2020_02:18:48:733;1608301128687;LTE;LTE;;0;49;0;51;0;-89;-14;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
1;18-12-2020_02:18:48:733;1608301128687;LTE;LTE;;0;not available;0;53;0;-87;-6;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
1;18-12-2020_02:18:48:733;1608301128687;LTE;LTE;;0;230;0;43;0;-97;-11;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
1;18-12-2020_02:18:49:836;1608301129785;LTE;LTE;;0;49;0;51;0;-89;-14;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
1;18-12-2020_02:18:49:836;1608301129785;LTE;LTE;;0;not available;0;53;0;-87;-6;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
1;18-12-2020_02:18:49:836;1608301129785;LTE;LTE;;0;230;0;43;0;-97;-11;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
1;18-12-2020_02:18:50:954;1608301130890;LTE;LTE;;0;49;0;51;0;-89;-14;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
1;18-12-2020_02:18:50:954;1608301130890;LTE;LTE;;0;not available;0;53;0;-87;-6;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
1;18-12-2020_02:18:50:954;1608301130890;LTE;LTE;;0;230;0;43;0;-97;-11;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
1;18-12-2020_02:18:52:004;1608301131976;LTE;LTE;;0;49;0;51;0;-89;-14;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
1;18-12-2020_02:18:52:004;1608301131976;LTE;LTE;;0;not available;0;53;0;-87;-6;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
1;18-12-2020_02:18:52:004;1608301131976;LTE;LTE;;0;230;0;43;0;-97;-11;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
1;18-12-2020_02:18:53:100;1608301133045;LTE;LTE;;0;49;0;51;0;-89;-14;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
1;18-12-2020_02:18:53:100;1608301133045;LTE;LTE;;0;not available;0;53;0;-87;-6;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
1;18-12-2020_02:18:53:100;1608301133045;LTE;LTE;;0;230;0;43;0;-97;-11;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
1;18-12-2020_02:18:53:202;1608301133151;LTE;LTE;;0;49;0;51;0;-89;-14;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
1;18-12-2020_02:18:53:202;1608301133151;LTE;LTE;;0;not available;0;53;0;-87;-6;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
1;18-12-2020_02:18:53:202;1608301133151;LTE;LTE;;0;230;0;43;0;-97;-11;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
1;18-12-2020_02:18:54:200;1608301134150;LTE;LTE;;0;49;0;51;0;-89;-14;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
1;18-12-2020_02:18:54:200;1608301134150;LTE;LTE;;0;not available;0;53;0;-87;-6;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
1;18-12-2020_02:18:54:200;1608301134150;LTE;LTE;;0;230;0;43;0;-97;-11;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
1;18-12-2020_02:18:55:156;1608301135108;LTE;LTE;;0;49;0;51;0;-89;-14;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
1;18-12-2020_02:18:55:156;1608301135108;LTE;LTE;;0;not available;0;53;0;-87;-6;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
1;18-12-2020_02:18:55:156;1608301135108;LTE;LTE;;0;230;0;43;0;-97;-11;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
1;18-12-2020_02:18:55:289;1608301135242;LTE;LTE;;0;49;0;51;0;-89;-14;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
1;18-12-2020_02:18:55:289;1608301135242;LTE;LTE;;0;not available;0;53;0;-87;-6;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
1;18-12-2020_02:18:55:289;1608301135242;LTE;LTE;;0;230;0;43;0;-97;-11;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
1;18-12-2020_02:18:56:374;1608301136323;LTE;LTE;;0;49;0;51;0;-89;-14;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
1;18-12-2020_02:18:56:374;1608301136323;LTE;LTE;;0;not available;0;53;0;-87;-6;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
1;18-12-2020_02:18:56:374;1608301136323;LTE;LTE;;0;230;0;43;0;-97;-11;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
1;18-12-2020_02:18:56:464;1608301136424;LTE;LTE;;0;49;0;51;0;-89;-14;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
1;18-12-2020_02:18:56:464;1608301136424;LTE;LTE;;0;not available;0;53;0;-87;-6;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
1;18-12-2020_02:18:56:464;1608301136424;LTE;LTE;;0;230;0;43;0;-97;-11;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
1;18-12-2020_02:18:57:418;1608301137380;LTE;LTE;;0;49;0;51;0;-89;-14;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
1;18-12-2020_02:18:57:418;1608301137380;LTE;LTE;;0;not available;0;53;0;-87;-6;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
1;18-12-2020_02:18:57:418;1608301137380;LTE;LTE;;0;230;0;43;0;-97;-11;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
1;18-12-2020_02:18:57:501;1608301137449;LTE;LTE;;0;49;0;51;0;-89;-14;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
1;18-12-2020_02:18:57:501;1608301137449;LTE;LTE;;0;not available;0;53;0;-87;-6;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
1;18-12-2020_02:18:57:501;1608301137449;LTE;LTE;;0;230;0;43;0;-97;-11;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
1;18-12-2020_02:18:58:566;1608301138536;LTE;LTE;;0;49;0;51;0;-89;-14;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
1;18-12-2020_02:18:58:566;1608301138536;LTE;LTE;;0;not available;0;53;0;-87;-6;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
1;18-12-2020_02:18:58:566;1608301138536;LTE;LTE;;0;230;0;43;0;-97;-11;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
1;18-12-2020_02:18:58:604;1608301138536;LTE;LTE;;0;49;0;51;0;-89;-14;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
1;18-12-2020_02:18:58:604;1608301138536;LTE;LTE;;0;not available;0;53;0;-87;-6;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
1;18-12-2020_02:18:58:604;1608301138536;LTE;LTE;;0;230;0;43;0;-97;-11;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
2;18-12-2020_02:18:59:626;1608301139595;LTE;LTE;;0;49;0;51;0;-89;-14;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
2;18-12-2020_02:18:59:626;1608301139595;LTE;LTE;;0;not available;0;53;0;-87;-6;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
2;18-12-2020_02:18:59:626;1608301139595;LTE;LTE;;0;230;0;43;0;-97;-11;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
2;18-12-2020_02:19:00:309;1608301140265;LTE;LTE;;0;49;0;51;0;-89;-14;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
2;18-12-2020_02:19:00:309;1608301140265;LTE;LTE;;0;not available;0;53;0;-87;-6;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
2;18-12-2020_02:19:00:309;1608301140265;LTE;LTE;;0;230;0;43;0;-97;-11;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
2;18-12-2020_02:19:00:381;1608301140342;LTE;LTE;;0;49;0;51;0;-89;-14;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
2;18-12-2020_02:19:00:381;1608301140342;LTE;LTE;;0;not available;0;53;0;-87;-6;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
2;18-12-2020_02:19:00:381;1608301140342;LTE;LTE;;0;230;0;43;0;-97;-11;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
2;18-12-2020_02:19:00:709;1608301140660;LTE;LTE;;0;49;0;51;0;-89;-14;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
2;18-12-2020_02:19:00:709;1608301140660;LTE;LTE;;0;not available;0;53;0;-87;-6;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
