timestamp;minPing;avgPing;maxPing;meanDevPing;packetLoss;successfull
1607602573650;53.104;53.104;53.104;0.0;75.0;true
1607602588211;28.39;180.23;357.691;146.973;0.0;true
1607602601319;31.607;1262.002;2615.492;984.507;0.0;true
1607602615251;79.517;79.517;79.517;0.0;75.0;true
1607602653836;31.569;1487.654;2075.633;843.486;0.0;true
1607602672151;85.027;691.287;1307.046;498.932;25.0;true
1607602688042;29.697;54.784;91.533;22.759;0.0;true
1607602701166;32.842;177.907;507.985;193.35;0.0;true
1607602714290;30.081;84.133;209.278;72.86;0.0;true
1607602727416;29.48;71.129;167.403;56.083;0.0;true
1607602740536;35.857;596.083;1646.682;654.122;0.0;true
1607602753639;29.641;48.088;99.736;29.829;0.0;true
1607602766742;32.936;78.128;143.893;47.576;25.0;true
1607602780839;29.716;34.969;46.511;6.775;0.0;true
1607602793952;29.566;42.936;65.498;14.367;0.0;true
1607602807064;33.032;85.128;137.218;47.541;0.0;true
1607602820165;38.774;81.714;133.773;42.151;0.0;true
1607602833294;58.976;686.022;1511.373;609.293;25.0;true
1607602847400;29.518;33.626;41.271;4.52;0.0;true
1607602860493;29.345;41.991;67.65;15.154;0.0;true
1607602873596;51.784;732.38;1264.724;528.447;0.0;true
1607602887220;55.72;275.701;870.111;343.443;0.0;true
1607602900437;32.892;36.525;39.915;2.646;0.0;true
1607602913561;37.031;310.49;477.367;168.323;0.0;true
1607602927003;30.04;51.255;96.318;26.296;0.0;true
1607603044428;33.226;97.124;245.68;86.581;0.0;true
1607603058180;30.659;277.184;986.662;409.794;0.0;true
1607603071278;31.588;36.852;44.972;5.386;0.0;true
1607603084376;30.734;133.547;425.219;168.434;0.0;true
1607603097538;30.704;34.051;42.234;4.76;0.0;true
1607603110631;31.494;191.617;660.904;270.965;0.0;true
1607603123819;31.425;35.347;46.289;6.321;0.0;true
1607603136916;30.116;37.533;58.223;11.959;0.0;true
1607603150040;30.415;32.496;36.064;2.257;0.0;true
1607603163158;33.346;113.097;305.045;111.451;0.0;true
1607603176867;31.26;35.134;45.688;6.109;0.0;true
1607603190012;33.916;37.972;44.392;3.907;0.0;true
1607603203303;32.151;38.892;49.574;6.591;0.0;true
1607603217311;30.142;32.677;38.494;3.414;0.0;true
1607603230432;29.263;31.869;37.324;3.245;0.0;true
1607603243547;36.171;44.986;57.192;7.624;0.0;true
1607603257034;31.779;36.419;42.122;4.495;0.0;true
1607603270240;31.902;275.359;748.069;334.306;25.0;true
1607603284839;29.344;81.803;233.289;87.47;0.0;true
1607603297948;31.047;37.188;46.636;6.382;0.0;true
1607603311615;29.252;40.757;72.453;18.315;0.0;true
1607603324808;29.211;36.801;55.985;11.132;0.0;true
1607603337969;30.547;97.511;223.685;89.274;25.0;true
1607603352058;32.138;208.392;323.429;107.501;0.0;true
1607603365165;33.806;38.491;42.133;2.996;0.0;true
1607603379337;30.776;62.039;126.33;37.978;0.0;true
1607603392466;35.654;49.602;65.106;10.952;0.0;true
1607603405930;32.324;110.47;322.59;122.582;0.0;true
1607603419105;32.456;75.535;179.797;60.416;0.0;true
1607603432312;31.928;48.786;65.698;16.807;0.0;true
1607603445426;36.627;528.063;1371.02;548.456;0.0;true
1607603458643;39.294;143.823;325.802;112.56;0.0;true
1607603471752;42.252;350.852;747.171;258.034;0.0;true
1607603486518;46.952;67.451;119.165;29.925;0.0;true
