count;Type;Available;Registered;CI;PCI;TAC;ASU;CQI;RSRP;RSRQ;RSSI;RSSNR;TA;Bandwith;NCI;MCC;MNC;ARFCN;CSI_RSRP;CSI_RSRQ;CSI_SINR;CSI_RSRP_dbm;SS_RSRP;SS_RSRQ;SS_SINR;LEVEL;Longitude;Latitude;Altitude;Time;Accuracy;timestampStart;timestampEnd;protocol;direction;filesize;senderTime;senderPackets;senderLostPackets;senderBytes;senderThroughput;receiverTime;receiverPackets;receiverLostPackets;receiverBytes;receiverThroughput;rawThroughput;senderPacketloss;revceiverPacketloss;receiverJitter;receiverOutOfOrder;senderRetransmits;speedtestTimeout;tcp_max_cwnd_0;tcp_max_rtt_0;tcp_min_rtt_0;tcp_mean_rtt_0;bits_per_second_0;PingtimestampStart;PingtimestampEnd;minPing;avgPing;maxPing;meanDevPing;packetLoss;successfull
0;LTE;LTE;LTE;37901057;91;12050;33;5;-107;-12;not available;0;38;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.8457548;51.6333688;128.17146516172156;1608305760000;3.52;1608305808192;1608305808900;UDP;upload;104858;0.002239;73;0;105704;4.721036176864672E7;-1.0;-1;-1;-1;-1.0;3.7768289414917374E8;0.0;-1.0;-1.0;-1;-1;false;;;;;;1608305808185;1608305811235;26.665;74.222;214.022;80.717;0.0;true
1;LTE;LTE;LTE;37901057;91;12050;33;5;-107;-12;not available;0;38;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.8453462;51.6356103;122.60152035433333;1608305773000;3.583;1608305821287;1608305822094;TCP;upload;1048576;0.269835;-1;-1;1100820;3.263683362054589E7;0.327739;-1;-1;795850;1.9426433839121982E7;-1.0;0.0;0.0;-1.0;-1;0;false;422816;55877;39648;49782;3.263683362054589E7;1608305821284;1608305824338;28.088;39.638;70.626;17.909;0.0;true
2;LTE;LTE;LTE;37901057;91;12050;33;5;-107;-12;not available;0;38;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.8449429;51.6378476;119.89294683048362;1608305786000;3.52;1608305834391;1608305836609;TCP;download;3145728;1.80646;-1;-1;3874152;1.7156879200203713E7;1.772131;-1;-1;3159536;1.4263216432645217E7;-1.0;0.0;0.0;-1.0;-1;0;false;172312;46346;31887;39116;1.7156879200203713E7;1608305834390;1608305837457;33.222;37.592;44.66;4.28;0.0;true
3;LTE;LTE;LTE;37901057;91;12050;33;5;-107;-12;not available;0;38;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.8445338;51.6400821;117.21604837058788;1608305799000;3.9;1608305847513;1608305848019;UDP;upload;104858;0.002417;73;0;105704;4.373355399255276E7;-1.0;-1;-1;-1;-1.0;3.49868431940422E8;0.0;-1.0;-1.0;-1;-1;false;;;;;;1608305847511;1608305850591;46.228;55.654;68.628;8.61;0.0;true
4;LTE;LTE;LTE;37901057;91;12050;33;5;-107;-12;not available;0;38;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.8442592;51.6437754;115.84845188781311;1608305828000;3.9;1608305860644;1608305870649;UDP;download;1048576;17.53524;2474978;2455399;-711199152;-629165.9078330488;17.92434;2474978;2455399;-1;1.5995091117441423E9;1.5995091117441423E9;99.20892226112717;99.0;0.249675995766413;112;-1;true;;;;;;1608305860644;1608305864702;53.741;53.741;53.741;0.0;75.0;true
5;LTE;LTE;LTE;37901057;91;12050;33;5;-107;-12;not available;0;38;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.8453203;51.644069;116.0295454209564;1608305842000;3.9;1608305890069;1608305890774;UDP;upload;524288;0.018569;363;0;525624;2.830653239269751E7;-1.0;-1;-1;-1;-1.0;2.2645225914158008E8;0.0;-1.0;-1.0;-1;-1;false;;;;;;1608305890064;1608305893133;33.3;44.808;52.991;7.822;0.0;true
6;LTE;LTE;LTE;37901057;91;12050;33;5;-107;-12;not available;0;38;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.8447307;51.6450905;114.82057593182925;1608305855000;3.9;1608305903200;1608305905510;UDP;upload;6291456;1.316133;4345;0;6291560;4780337.549472583;-1.0;-1;-1;-1;-1.0;3.824270039578067E7;0.0;-1.0;-1.0;-1;-1;false;;;;;;1608305903197;1608305906261;51.218;260.276;686.628;258.752;0.0;true
7;LTE;LTE;LTE;37901057;91;12050;33;5;-107;-12;not available;0;38;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.8450784;51.6460356;113.64776341350452;1608305868000;3.74;1608305916301;1608305918219;TCP;download;1048576;1.418079;-1;-1;1302990;7350732.92813729;1.380749;-1;-1;1050148;6084512.101765056;-1.0;0.0;0.0;-1.0;-1;0;false;66608;56820;48883;52851;7350732.92813729;1608305916301;1608305919356;34.329;43.584;59.442;9.582;0.0;true
8;LTE;LTE;LTE;37901057;91;12050;33;5;-107;-12;not available;0;38;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.846374;51.6473016;112.87760011147934;1608305881000;4.316;1608305929406;1608305931020;TCP;download;524288;1.011434;-1;-1;655250;5182740.544612897;0.968784;-1;-1;526247;4345629.159854002;-1.0;0.0;0.0;-1.0;-1;0;false;40544;45961;43244;44602;5182740.544612897;1608305929406;1608305932465;38.369;46.952;69.125;12.823;0.0;true
