count;Type;Available;Registered;CI;PCI;TAC;ASU;CQI;RSRP;RSRQ;RSSI;RSSNR;TA;Bandwith;NCI;MCC;MNC;ARFCN;CSI_RSRP;CSI_RSRQ;CSI_SINR;CSI_RSRP_dbm;SS_RSRP;SS_RSRQ;SS_SINR;LEVEL;Longitude;Latitude;Altitude;Time;Accuracy;timestampStart;timestampEnd;protocol;direction;filesize;senderTime;senderPackets;senderLostPackets;senderBytes;senderThroughput;receiverTime;receiverPackets;receiverLostPackets;receiverBytes;receiverThroughput;rawThroughput;senderPacketloss;revceiverPacketloss;receiverJitter;receiverOutOfOrder;senderRetransmits;speedtestTimeout;tcp_max_cwnd_0;tcp_max_rtt_0;tcp_min_rtt_0;tcp_mean_rtt_0;bits_per_second_0;PingtimestampStart;PingtimestampEnd;minPing;avgPing;maxPing;meanDevPing;packetLoss;successfull
0;LTE;LTE;LTE;26378754;488;13499;54;not available;-86;-7;not available;12;5;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4587756;51.5170538;129.9117112079025;1608302074000;5.753;1608302123512;1608302126425;UDP;upload;6291456;1.54695;4345;0;6291560;4067073.91964834;-1.0;-1;-1;-1;-1.0;3.253659135718672E7;0.0;-1.0;-1.0;-1;-1;false;;;;;;1608302123510;1608302126555;33.078;460.018;820.74;354.878;0.0;true
1;LTE;LTE;LTE;26378754;488;13499;55;9;-85;-7;not available;12;5;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4587886;51.5170351;132.08873692342422;1608302088000;4.844;1608302136614;1608302138528;UDP;download;3145728;0.173609;32025;2854;46372200;1.9464248051656306E9;0.518706;32025;2854;-1;7.15198204763392E8;7.15198204763392E8;8.911787665886026;8.0;0.12109764827213951;0;-1;false;;;;;;1608302136613;1608302139686;38.624;211.075;690.033;276.788;0.0;true
2;LTE;LTE;LTE;26378754;488;13499;49;9;-91;-9;not available;9;5;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4581674;51.5169567;133.48782875428282;1608302103000;3.822;1608302149739;1608302154362;UDP;download;9437184;0.889069;115414;1008;167119472;1.4906369516876643E9;1.258863;115414;1008;-1;1.062034372286738E9;1.062034372286738E9;0.873377579843;0.0;0.13961874609079317;30;-1;false;;;;;;1608302149736;1608302153819;41.117;1331.7;2622.283;1290.583;50.0;true
3;LTE;LTE;LTE;26378754;488;13499;48;12;-92;-11;not available;8;5;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4588455;51.5168207;134.13884702541662;1608302117000;4.0;1608302164425;1608302168045;TCP;download;6291456;3.159344;-1;-1;7539254;1.9090682116287433E7;3.112129;-1;-1;6306040;1.6210227789400762E7;-1.0;0.0;0.0;-1.0;-1;0;false;327248;57674;38242;50653;1.9090682116287433E7;1608302164426;1608302167482;34.45;43.467;49.219;5.638;0.0;true
4;LTE;LTE;LTE;26378754;488;13499;52;5;-88;-8;not available;2;5;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4586063;51.5167033;135.1101028729004;1608302130000;5.525;1608302178103;1608302178911;TCP;upload;1048576;0.263066;-1;-1;1100820;3.3476618035017826E7;0.373403;-1;-1;840738;1.801245303331789E7;-1.0;0.0;0.0;-1.0;-1;0;false;421368;49575;43887;46304;3.3476618035017826E7;1608302178100;1608302181192;31.632;46.241;63.935;11.787;0.0;true
5;LTE;LTE;LTE;26378754;488;13499;52;5;-88;-10;not available;-1;5;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4574565;51.5165613;136.97098528012367;1608302143000;3.94;1608302191266;1608302192076;UDP;upload;2097152;0.048598;1449;0;2098152;4.317362854438454E7;-1.0;-1;-1;-1;-1.0;3.453890283550763E8;0.0;-1.0;-1.0;-1;-1;false;;;;;;1608302191248;1608302194321;28.611;37.937;59.876;12.873;0.0;true
6;LTE;LTE;LTE;26378754;488;13499;52;5;-88;-10;not available;-1;5;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4559431;51.51613;139.91873399581323;1608302157000;3.933;1608302204383;1608302208010;TCP;upload;7340032;2.824021;-1;-1;7665280;2.1714512746187083E7;2.980286;-1;-1;6956032;1.8672119387199752E7;-1.0;0.0;0.0;-1.0;-1;3;false;2526760;567692;41700;367888;2.1714512746187083E7;1608302204377;1608302207742;60.535;284.235;384.004;130.258;0.0;true
7;NR;LTE, NR;LTE, NR;26378754;488;13499;52;5;-88;-10;not available;-1;5;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4552163;51.5149147;144.93935327283842;1608302171000;3.94;1608302218066;1608302222504;TCP;download;10485760;3.876645;-1;-1;12913480;2.664877490716844E7;3.835029;-1;-1;10531304;2.19686557780919E7;-1.0;0.0;0.0;-1.0;-1;0;false;535760;60634;38579;45257;2.664877490716844E7;1608302218064;1608302221122;31.402;53.979;115.809;35.73;0.0;true
8;NR;LTE, NR;LTE, NR;26796291;75;13499;63;15;-77;-9;not available;15;4;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4553981;51.5142214;146.84453342539032;1608302185000;3.75;1608302232576;1608302236801;TCP;download;7340032;2.746121;-1;-1;8895560;2.591454637286558E7;2.710024;-1;-1;7351496;2.1701641018677328E7;-1.0;0.0;0.0;-1.0;-1;0;false;382272;51411;27459;37318;2.591454637286558E7;1608302232575;1608302236624;37.132;38.556;40.52;1.434;25.0;true
9;LTE;LTE;LTE;26796291;75;13499;63;15;-77;-9;not available;15;4;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4562337;51.5130703;149.27946443727123;1608302198000;3.94;1608302246882;1608302247587;TCP;upload;524288;0.165982;-1;-1;550410;2.6528659734188046E7;0.313382;-1;-1;176381;4502645.333809855;-1.0;0.0;0.0;-1.0;-1;0;false;97016;47218;38014;42616;2.6528659734188046E7;1608302246874;1608302249924;28.989;51.54;106.869;32.066;0.0;true
