counter;timestampStart;timestampEnd;protocol;direction;filesize;senderTime;senderPackets;senderLostPackets;senderBytes;senderThroughput;receiverTime;receiverPackets;receiverLostPackets;receiverBytes;receiverThroughput;rawThroughput;senderPacketloss;revceiverPacketloss;receiverJitter;receiverOutOfOrder;senderRetransmits;speedtestTimeout;tcp_max_cwnd_0;tcp_max_rtt_0;tcp_min_rtt_0;tcp_mean_rtt_0;bits_per_second_0
25;1609242643429;1609242644136;TCP;upload;524288;0.041856;-1;-1;550410;1.052006880733945E8;0.125351;-1;-1;1448;92412.5056840392;-1.0;0.0;0.0;-1.0;-1;0;false;14480;45761;45761;45761;1.052006880733945E8
26;1609242656544;1609242659360;UDP;upload;8388608;1.90672;5794;0;8389712;4400075.522363011;-1.0;-1;-1;-1;-1.0;3.520060417890409E7;0.0;-1.0;-1.0;-1;-1;false;;;;;
27;1609242669649;1609242672265;UDP;download;7340032;0.403481;31422;1746;45499056;8.520024090353698E8;0.588808;31422;1746;-1;6.181852963954294E8;6.181852963954294E8;5.5566163834256255;5.0;0.04463256560136841;2;-1;false;;;;;
28;1609242682793;1609242683398;TCP;upload;524288;0.003737;-1;-1;550410;1.1782927481937382E9;0.153564;-1;-1;0;0.0;-1.0;0.0;0.0;-1.0;-1;0;false;14480;34498;34498;34498;1.1782927481937382E9
29;1609242695902;1609242697213;UDP;download;5242880;0.16845;13967;266;20224216;9.42192840605521E8;0.342201;13967;266;-1;4.728032004582103E8;4.728032004582103E8;1.9044891530035082;1.0;0.033278683271941584;0;-1;false;;;;;
30;1609242709003;1609242710717;TCP;upload;104858;0.036954;-1;-1;110040;2.382204903393408E7;0.132695;-1;-1;6316;380782.99860582536;-1.0;0.0;0.0;-1.0;-1;0;false;14480;33598;33598;33598;2.382204903393408E7
31;1609242723098;1609242724006;TCP;upload;2097152;0.40886;-1;-1;2201850;4.308271780071418E7;0.488707;-1;-1;1907253;3.1221210254815258E7;-1.0;0.0;0.0;-1.0;-1;0;false;1356776;69579;46510;57431;4.308271780071418E7
32;1609242736260;1609242739379;TCP;download;6291456;2.678694;-1;-1;7793008;2.327405220603772E7;2.631144;-1;-1;6315777;1.9203135974313837E7;-1.0;0.0;0.0;-1.0;-1;0;false;333040;46850;39734;44228;2.327405220603772E7
33;1609242749485;1609242750896;UDP;download;524288;0.028131;10349;1446;14985352;3.6661459599729834E9;0.256079;10349;1446;-1;4.68147782520238E8;4.68147782520238E8;13.97236447965987;13.0;0.0367832930752341;0;-1;false;;;;;
34;1609242762590;1609242764403;UDP;upload;9437184;1.137442;6518;0;9438064;8297622.208429089;-1.0;-1;-1;-1;-1.0;6.63809776674327E7;0.0;-1.0;-1.0;-1;-1;false;;;;;
35;1609242775699;1609242778520;TCP;download;4194304;2.324473;-1;-1;5062802;1.74243434963538E7;2.280751;-1;-1;4200648;1.4734262530192906E7;-1.0;0.0;0.0;-1.0;-1;0;false;224440;43411;37407;40550;1.7424343496353794E7
36;1609242788844;1609242793876;TCP;download;8388608;4.052302;-1;-1;10269596;2.0274098031193133E7;4.010824;-1;-1;8404192;1.6763023259060979E7;-1.0;0.0;0.0;-1.0;-1;0;false;434400;171642;42224;97018;2.0274098031193133E7
37;1609242803948;1609242806866;TCP;upload;9437184;2.136749;-1;-1;9828153;3.679665884949519E7;2.228935;-1;-1;9014773;3.235544508924666E7;-1.0;0.0;0.0;-1.0;-1;7;false;2668664;271845;44719;186821;3.679665884949519E7
38;1609242817052;1609242820173;TCP;upload;9437184;2.334846;-1;-1;9683952;3.3180610626996387E7;2.44274;-1;-1;8798172;2.8814108746735223E7;-1.0;0.0;0.0;-1.0;-1;3;false;2719344;321998;45628;231492;3.3180610626996387E7
39;1609242830228;1609242831940;UDP;upload;7340032;0.983608;5070;0;7341360;7463705.053232588;-1.0;-1;-1;-1;-1.0;5.97096404258607E7;0.0;-1.0;-1.0;-1;-1;false;;;;;
40;1609242843318;1609242845034;UDP;download;3145728;0.162377;35575;2155;51512600;2.38418790838604E9;0.422958;35575;2155;-1;9.74330311756723E8;9.74330311756723E8;6.057624736472242;6.0;0.0556473202948542;0;-1;false;;;;;
41;1609242856425;1609242856932;TCP;upload;524288;0.003169;-1;-1;550410;1.3894856421584096E9;0.056925;-1;-1;6965;978831.7962231005;-1.0;0.0;0.0;-1.0;-1;0;false;14480;35023;35023;35023;1.3894856421584096E9
