Type;Available;Registered;CI;PCI;TAC;ASU;CQI;RSRP;RSRQ;RSSI;RSSNR;TA;Bandwith;NCI;MCC;MNC;ARFCN;CSI_RSRP;CSI_RSRQ;CSI_SINR;CSI_RSRP_dbm;SS_RSRP;SS_RSRQ;SS_SINR;LEVEL;Longitude;Latitude;Altitude;Time;Accuracy;timestamp;protocol;direction;filesize;senderTime;senderPackets;senderLostPackets;senderBytes;senderThroughput;receiverTime;receiverPackets;receiverLostPackets;receiverBytes;receiverThroughput;rawThroughput;senderPacketloss;revceiverPacketloss;receiverJitter;receiverOutOfOrder;senderRetransmits;tcp_max_cwnd_0;tcp_max_rtt_0;tcp_min_rtt_0;tcp_mean_rtt_0;bits_per_second_0;minPing;avgPing;maxPing;meanDevPing;packetLoss;successfull
LTE;LTE;LTE;0;489;0;45;0;-95;-6;not available;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4568274;51.516393;136.02350503604094;1607602041999;3.74;1607602075570;TCP;upload;3145728;0.850984;-1;-1;3302880;3.1049984488545027E7;0.992617;-1;-1;2695136;2.172145752087663E7;-1.0;0.0;0.0;-1.0;-1;0;2115528;297339;43482;166053;3.1049984488545027E7;30.845;90.859;244.115;88.666;0.0;true
NR;LTE, NR;LTE, NR;0;13;0;74;0;-66;-9;not available;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4552827;51.515622;138.49804900090015;1607602056999;3.92;1607602090232;TCP;download;3145728;4.155268;-1;-1;3894080;7497143.385216068;4.101612;-1;-1;3146104;6136326.888062547;-1.0;0.0;0.0;-1.0;-1;0;173760;99755;41590;66585;7497143.385216068;65.992;118.48;185.974;49.268;0.0;true
NR;LTE, NR;LTE, NR;0;13;0;74;0;-66;-9;not available;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4552124;51.5149176;141.41929665499111;1607602064999;3.966;1607602103371;TCP;upload;3145728;0.754206;-1;-1;3302880;3.5034247937566124E7;0.827967;-1;-1;2776224;2.682448938182319E7;-1.0;0.0;0.0;-1.0;-1;0;2121320;161137;39994;94694;3.5034247937566124E7;41.408;135.625;333.743;116.79;0.0;true
NR;LTE, NR;LTE, NR;0;498;0;30;0;-110;-7;-69;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4557582;51.5133154;145.79710399937716;1607602082999;9.6;1607602116473;TCP;download;104858;0.444538;-1;-1;172920;3111904.9440092864;0.404993;-1;-1;105276;2079561.8689705748;-1.0;0.0;0.0;-1.0;-1;0;18824;53813;53813;53813;3111904.9440092864;29.293;57.131;98.73;25.531;0.0;true
LTE;LTE;LTE;0;498;0;30;0;-110;-7;-69;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4582042;51.5120698;149.22553598203953;1607602101999;4.0;1607602134615;UDP;upload;10485760;6.7871;7242;0;10486416;1545051.0527323894;-1.0;-1;-1;-1;-1.0;1.2360408421859115E7;0.0;-1.0;-1.0;-1;-1;45.904;45.904;45.904;0.0;75.0;true
NR;LTE, NR;LTE, NR;0;187;0;52;0;-88;-12;not available;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4591037;51.5116335;148.7245900820898;1607602114999;5.2;1607602147708;UDP;upload;4194304;0.385452;2897;0;4194856;1.0882953000633022E7;-1.0;-1;-1;-1;-1.0;8.706362400506417E7;0.0;-1.0;-1.0;-1;-1;29.089;56.375;74.794;16.766;0.0;true
NR;LTE, NR;LTE, NR;0;211;0;52;0;-88;-15;not available;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4590912;51.5116387;148.58197898144658;1607602127999;4.71;1607602160853;UDP;download;7340032;0.413792;39489;1836;57180072;1.317607493619983E8;0.680681;39489;1836;-1;6.720337074194814E8;6.720337074194814E8;4.649396034338676;4.0;0.14200858892856577;3;-1;31.075;279.807;994.469;412.766;0.0;true
NR;LTE, NR;LTE, NR;0;211;0;52;0;-88;-14;not available;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4590912;51.5116387;148.79301319898275;1607602140999;4.195;1607602173965;TCP;upload;2097152;0.424488;-1;-1;2201850;4.14965794086052E7;0.509814;-1;-1;1677266;2.6319653834535733E7;-1.0;0.0;0.0;-1.0;-1;0;1246728;93912;40329;67591;4.14965794086052E7;31.553;40.906;66.926;15.029;0.0;true
NR;LTE, NR;LTE, NR;0;187;0;54;0;-86;-13;not available;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4599;51.5112273;149.7618655600254;1607602153999;4.0;1607602187094;UDP;upload;6291456;0.82419;4345;0;6291560;7633628.1682621725;-1.0;-1;-1;-1;-1.0;6.106902534609738E7;0.0;-1.0;-1.0;-1;-1;30.691;118.753;342.253;130.008;0.0;true
NR;LTE, NR;LTE, NR;0;187;0;54;0;-86;-13;not available;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.461202;51.5104767;150.33871115190482;1607602166999;4.0;1607602200205;UDP;upload;10485760;1.405983;7242;0;10486416;7458423.039254387;-1.0;-1;-1;-1;-1.0;5.96673843140351E7;0.0;-1.0;-1.0;-1;-1;31.623;108.562;295.673;109.488;0.0;true
