Counter;PingtimestampStart;PingtimestampEnd;minPing;avgPing;maxPing;meanDevPing;packetLoss;successfull
16;1608302338662;1608302341724;28.148;52.087;107.049;32.445;0.0;true
17;1608302351807;1608302354884;28.892;58.199;122.556;38.251;0.0;true
18;1608302365031;1608302368124;25.387;66.036;108.847;29.531;0.0;true
19;1608302378190;1608302381245;26.961;56.616;106.497;29.909;0.0;true
20;1608302391337;1608302394418;26.983;53.812;102.415;30.516;0.0;true
21;1608302404469;1608302407523;24.316;56.111;126.821;41.565;0.0;true
22;1608302417578;1608302420661;28.721;69.482;126.038;35.327;0.0;true
23;1608302430817;1608302434431;128.015;1126.245;2328.955;851.553;0.0;true
24;1608302444965;1608302448009;26.909;89.457;202.948;72.091;0.0;true
25;1608302458066;1608302461235;37.912;88.909;156.153;45.328;0.0;true
26;1608302471307;1608302474381;46.992;172.343;478.26;178.925;0.0;true
27;1608302484437;1608302488130;101.198;633.823;918.89;320.489;0.0;true
28;1608302498347;1608302501410;27.865;66.279;130.258;38.823;0.0;true
29;1608302511465;1608302514542;29.56;60.606;126.188;38.505;0.0;true
30;1608302524609;1608302529214;65.469;418.721;771.973;353.252;50.0;true
31;1608302643208;1608302646290;28.861;88.347;226.186;81.009;0.0;true
32;1608302656362;1608302659418;29.456;107.685;212.799;78.87;0.0;true
33;1608302669438;1608302672497;27.247;37.012;64.12;15.673;0.0;true
