timestamp;minPing;avgPing;maxPing;meanDevPing;packetLoss;successfull
1607599988270;29.841;57.877;91.736;23.105;0.0;true
1607600001371;56.836;491.973;809.21;288.936;0.0;true
1607600015008;32.31;136.024;427.66;168.423;0.0;true
1607600028242;33.822;60.823;112.67;30.52;0.0;true
1607600041405;31.549;243.442;585.058;211.446;0.0;true
1607600054502;30.756;54.624;125.008;40.637;0.0;true
1607600067653;29.906;59.836;120.642;36.528;0.0;true
1607600080759;49.826;117.556;234.511;74.914;0.0;true
1607600093908;30.739;57.736;131.975;42.891;0.0;true
1607600107034;30.281;114.729;351.274;136.683;0.0;true
1607600120292;61.929;202.254;583.08;220.058;0.0;true
1607600133427;30.47;56.299;114.053;34.148;0.0;true
1607600146564;37.37;59.798;103.863;26.848;0.0;true
1607600159695;124.695;1068.47;2272.297;822.782;0.0;true
1607600173458;33.342;108.068;304.986;114.161;0.0;true
1607600186577;34.811;62.712;119.789;34.115;0.0;true
1607600199683;31.456;53.01;115.407;36.028;0.0;true
1607600212810;32.656;72.126;117.138;29.998;0.0;true
1607600225919;56.796;463.762;1044.302;402.154;0.0;true
1607600239081;32.405;58.383;115.267;33.581;0.0;true
1607600252187;32.284;59.693;116.79;34.012;0.0;true
1607600265289;33.665;49.417;81.674;19.391;0.0;true
1607600278401;33.404;326.236;635.658;255.582;0.0;true
1607600291575;35.305;252.56;801.874;318.189;0.0;true
1607600304774;37.851;164.175;431.808;158.241;0.0;true
