counter;timestampStart;timestampEnd;protocol;direction;filesize;senderTime;senderPackets;senderLostPackets;senderBytes;senderThroughput;receiverTime;receiverPackets;receiverLostPackets;receiverBytes;receiverThroughput;rawThroughput;senderPacketloss;revceiverPacketloss;receiverJitter;receiverOutOfOrder;senderRetransmits;speedtestTimeout;tcp_max_cwnd_0;tcp_max_rtt_0;tcp_min_rtt_0;tcp_mean_rtt_0;bits_per_second_0
25;1608304589604;1608304591113;UDP;download;7340032;0.307699;22595;1876;32717560;7.800119467401584E8;0.445738;22595;1876;-1;5.872070139857943E8;5.872070139857943E8;8.30272184111529;8.0;0.02287435238680558;0;-1;false;;;;;
26;1608304602705;1608304603212;TCP;upload;104858;0.002157;-1;-1;110040;4.0812239221140474E8;0.050413;-1;-1;0;0.0;-1.0;0.0;0.0;-1.0;-1;0;false;14480;29567;29567;29567;4.0812239221140474E8
27;1608304615885;1608304618097;UDP;download;7340032;0.456718;75694;2556;109604912;1.855040948681681E9;0.82668;75694;2556;-1;1.0606755891034015E9;1.0606755891034015E9;3.3767537717652654;3.0;0.06879852961105233;0;-1;false;;;;;
28;1608304629953;1608304630863;TCP;download;104858;0.286644;-1;-1;178160;4972300.13535954;0.231893;-1;-1;104876;3618082.477694454;-1.0;0.0;0.0;-1.0;-1;0;false;18824;38481;38481;38481;4972300.13535954
29;1608304643067;1608304645683;TCP;download;3145728;2.079853;-1;-1;3803200;1.4628726164781839E7;2.002975;-1;-1;3150448;1.2583074676418826E7;-1.0;0.0;0.0;-1.0;-1;0;false;173760;53813;29078;42505;1.4628726164781839E7
30;1608304656186;1608304657499;TCP;download;524288;0.8926;-1;-1;681460;6107640.600492942;0.861924;-1;-1;525972;4881841.09039776;-1.0;0.0;0.0;-1.0;-1;0;false;40544;36742;36742;36742;6107640.600492942
31;1608304669269;1608304671983;UDP;download;9437184;0.652723;98295;2393;142331160;1.7019911478529177E9;0.961789;98295;2393;-1;1.1838867776612127E9;1.1838867776612127E9;2.434508367668752;2.0;0.04661893709410923;0;-1;false;;;;;
32;1608304683465;1608304686389;TCP;upload;9437184;2.126825;-1;-1;9770431;3.675123623241216E7;2.212045;-1;-1;8965739;3.242515952433156E7;-1.0;0.0;0.0;-1.0;-1;5;false;2715000;344026;35527;193072;3.675123623241216E7
33;1608304696589;1608304701317;UDP;download;104858;2.56E-4;13302;0;19261296;6.019155E11;0.293817;13302;0;-1;5.2444333717926466E8;5.2444333717926466E8;0.0;0.0;0.020359555027243348;0;-1;false;;;;;
34;1608304711357;1608304713273;TCP;download;1048576;1.499562;-1;-1;1352514;7215514.930359664;1.433977;-1;-1;1053740;5878699.588626595;-1.0;0.0;0.0;-1.0;-1;0;false;68056;72332;50008;61170;7215514.930359664
35;1608304724461;1608304726476;TCP;upload;4194304;1.307239;-1;-1;4403910;2.69509095123386E7;1.441914;-1;-1;3673670;2.038218645494808E7;-1.0;0.0;0.0;-1.0;-1;0;false;2209648;361903;48805;228375;2.69509095123386E7
