counter;timestampStart;timestampEnd;protocol;direction;filesize;senderTime;senderPackets;senderLostPackets;senderBytes;senderThroughput;receiverTime;receiverPackets;receiverLostPackets;receiverBytes;receiverThroughput;rawThroughput;senderPacketloss;revceiverPacketloss;receiverJitter;receiverOutOfOrder;senderRetransmits;speedtestTimeout;tcp_max_cwnd_0;tcp_max_rtt_0;tcp_min_rtt_0;tcp_mean_rtt_0;bits_per_second_0
25;1608299274784;1608299278203;UDP;download;10485760;1.335518;218258;4743;316037584;-1.2940858191623464E9;1.883268;218258;4743;-1;1.3425071057332256E9;1.3425071057332256E9;2.173116220253095;2.0;0.027807120087613137;0;-1;false;;;;;
26;1608299288868;1608299294609;TCP;upload;9437184;5.011298;-1;-1;9776896;1.5607766291288204E7;5.15367;-1;-1;9013800;1.3992048384937337E7;-1.0;0.0;0.0;-1.0;-1;137;false;256296;698630;41132;118511;1.5607766291288204E7
27;1608299304709;1608299308133;UDP;upload;8388608;2.661011;5794;1645;8389712;2257695.2894971124;-1.0;-1;-1;-1;-1.0;2.522263004549774E7;28.39143942008975;-1.0;-1.0;-1;-1;false;;;;;
28;1608299319766;1608299320676;UDP;upload;1048576;0.021129;725;0;1049800;4.968526669506366E7;-1.0;-1;-1;-1;-1.0;3.9748213356050926E8;0.0;-1.0;-1.0;-1;-1;false;;;;;
29;1608299332886;1608299339733;TCP;upload;3145728;5.466074;-1;-1;3302880;4834007.00393006;6.317615;-1;-1;3070032;3887583.52637823;-1.0;0.0;0.0;-1.0;-1;696;false;1026632;1798756;44642;785865;4834007.00393006
30;1608299349838;1608299351561;TCP;upload;4194304;1.208115;-1;-1;4403910;2.9162190685489375E7;1.2967;-1;-1;3884828;2.3967474357985657E7;-1.0;0.0;0.0;-1.0;-1;1;false;2221232;213363;29169;103726;2.9162190685489375E7
31;1608299362948;1608299366672;TCP;upload;8388608;3.122527;-1;-1;8662294;2.2193035320431177E7;3.209576;-1;-1;7891490;1.966986293516651E7;-1.0;0.0;0.0;-1.0;-1;1;false;2625224;700473;44161;341602;2.2193035320431177E7
32;1608299376770;1608299377781;UDP;upload;2097152;0.04216;1449;0;2098152;4.976641366223908E7;-1.0;-1;-1;-1;-1.0;3.9813130929791266E8;0.0;-1.0;-1.0;-1;-1;false;;;;;
33;1608299389861;1608299391271;TCP;download;1048576;1.01119;-1;-1;1302990;1.030856713377308E7;0.96174;-1;-1;1050698;8739975.461143345;-1.0;0.0;0.0;-1.0;-1;0;false;66608;34755;34267;34511;1.030856713377308E7
34;1608299402959;1608299404470;TCP;download;1048576;1.1307;-1;-1;1307334;9249732.02440966;1.093598;-1;-1;1050148;7682150.11366151;-1.0;0.0;0.0;-1.0;-1;0;false;66608;41377;33681;37529;9249732.02440966
35;1608299416057;1608299418375;UDP;download;7340032;0.459178;44943;1494;65077464;1.0961178802120311E9;0.696212;44943;1494;-1;7.477890527597915E8;7.477890527597915E8;3.32421066684467;3.0;0.1073167476672075;0;-1;false;;;;;
36;1608299429224;1608299433355;UDP;download;524288;0.06303;92145;2296;133425960;1.6512943296842773E10;0.921859;92145;2296;-1;1.1578860541579568E9;1.1578860541579568E9;2.491724998643442;2.0;0.13121318182642594;0;-1;false;;;;;
37;1608299443409;1608299445120;TCP;download;1048576;1.1518;-1;-1;1302990;9050112.866817156;1.113155;-1;-1;1051944;7560090.014418478;-1.0;0.0;0.0;-1.0;-1;0;false;66608;35263;34303;34783;9050112.866817156
38;1608299456516;1608299459537;TCP;download;6291456;2.572223;-1;-1;7675366;2.3871541464328714E7;2.532071;-1;-1;6304592;1.9919163404185742E7;-1.0;0.0;0.0;-1.0;-1;0;false;330144;41574;36360;39746;2.3871541464328714E7
39;1608299469630;1608299471044;TCP;upload;5242880;0.894548;-1;-1;5504940;4.923103064340874E7;0.957566;-1;-1;4925532;4.1150433494923584E7;-1.0;0.0;0.0;-1.0;-1;0;false;2329832;158448;39902;109857;4.923103064340874E7
40;1608299482751;1608299483862;UDP;upload;5242880;0.479301;3621;0;5243208;1.093928032697616E7;-1.0;-1;-1;-1;-1.0;8.751424261580928E7;0.0;-1.0;-1.0;-1;-1;false;;;;;
41;1608299495849;1608299498374;TCP;upload;8388608;1.816001;-1;-1;8774748;3.86552562471056E7;1.921698;-1;-1;7964380;3.315559468761481E7;-1.0;0.0;0.0;-1.0;-1;1;false;2562960;253797;39595;180026;3.86552562471056E7
42;1608299508962;1608299512194;TCP;download;6291456;2.787138;-1;-1;7611654;2.1847942943621736E7;2.750146;-1;-1;6313280;1.8364930443692807E7;-1.0;0.0;0.0;-1.0;-1;0;false;328696;58083;34936;43486;2.1847942943621736E7
43;1608299522257;1608299523164;UDP;upload;4194304;0.356479;2897;0;4194856;1.1767470173558611E7;-1.0;-1;-1;-1;-1.0;9.41397613884689E7;0.0;-1.0;-1.0;-1;-1;false;;;;;
44;1608299535402;1608299539023;TCP;download;10485760;3.091035;-1;-1;12962400;3.3548374573565163E7;3.035638;-1;-1;10487864;2.7639300865254685E7;-1.0;0.0;0.0;-1.0;-1;0;false;540104;55809;32954;41531;3.3548374573565163E7
45;1608299549082;1608299549595;TCP;upload;104858;0.001857;-1;-1;110040;4.740549273021002E8;0.077193;-1;-1;12108;1254828.805720726;-1.0;0.0;0.0;-1.0;-1;0;false;14480;28519;28519;28519;4.740549273021002E8
46;1608299562201;1608299569347;TCP;download;8388608;6.704778;-1;-1;8893616;1.0611675435040504E7;6.663427;-1;-1;8401247;1.0086397885052241E7;-1.0;0.0;0.0;-1.0;-1;12;false;107152;85167;29542;39926;1.0611675435040504E7
47;1608299579435;1608299581245;UDP;download;8388608;0.29008;39294;2961;56897712;1.4509151682294538E9;0.553923;39294;2961;-1;8.21741823322014E8;8.21741823322014E8;7.535501603298213;7.0;0.025333002679353525;19;-1;false;;;;;
48;1608299592523;1608299596550;TCP;download;7340032;2.559565;-1;-1;9119208;2.850236817584238E7;2.523451;-1;-1;7350048;2.3301575501168836E7;-1.0;0.0;0.0;-1.0;-1;0;false;383720;43291;29443;38329;2.850236817584238E7
49;1608299606689;1608299610316;UDP;download;524288;0.047933;25849;2065;37429352;5.747895103582083E9;0.388039;25849;2065;-1;7.716616525658503E8;7.716616525658503E8;7.988703624898449;7.0;0.03416524869799664;0;-1;false;;;;;
50;1608299621071;1608299622785;TCP;upload;6291456;0.964275;-1;-1;6573052;5.453259288066164E7;1.174958;-1;-1;5754996;3.918435212152264E7;-1.0;0.0;0.0;-1.0;-1;0;false;4103632;307808;36730;178760;5.453259288066164E7
51;1608299634194;1608299635403;UDP;upload;4194304;0.246665;2897;0;4194856;1.7006287880323514E7;-1.0;-1;-1;-1;-1.0;1.360503030425881E8;0.0;-1.0;-1.0;-1;-1;false;;;;;
52;1608299647324;1608299648033;TCP;upload;524288;0.150143;-1;-1;550410;2.932724136323372E7;0.192294;-1;-1;150317;6253632.4586310545;-1.0;0.0;0.0;-1.0;-1;0;false;91224;47815;44288;46051;2.932724136323372E7
53;1608299660431;1608299661045;TCP;upload;524288;0.125281;-1;-1;550410;3.5147229029142484E7;0.1775;-1;-1;160453;7231684.507042254;-1.0;0.0;0.0;-1.0;-1;0;false;94120;44766;37510;41138;3.5147229029142484E7
