counter;timestampStart;timestampEnd;protocol;direction;filesize;senderTime;senderPackets;senderLostPackets;senderBytes;senderThroughput;receiverTime;receiverPackets;receiverLostPackets;receiverBytes;receiverThroughput;rawThroughput;senderPacketloss;revceiverPacketloss;receiverJitter;receiverOutOfOrder;senderRetransmits;speedtestTimeout;tcp_max_cwnd_0;tcp_max_rtt_0;tcp_min_rtt_0;tcp_mean_rtt_0;bits_per_second_0
26;1609252270940;1609252272949;UDP;download;8388608;0.154273;37223;2108;53898904;2.636703506122264E9;0.592058;37223;2108;-1;7.282922146141088E8;7.282922146141088E8;5.66316524729334;5.0;0.0057360949177924225;0;-1;false;;;;;
27;1609252284062;1609252287396;TCP;upload;10485760;2.33678;-1;-1;10940064;3.7453466736278124E7;2.63722;-1;-1;9985312;3.0290417940103594E7;-1.0;0.0;0.0;-1.0;-1;2;false;4568440;526864;48819;371422;3.7453466736278124E7
28;1609252297471;1609252298381;TCP;upload;1048576;0.293942;-1;-1;1100820;2.9960196229188073E7;0.417346;-1;-1;1082276;2.074587512519588E7;-1.0;0.0;0.0;-1.0;-1;0;false;599472;67483;44014;54379;2.9960196229188073E7
29;1609252310586;1609252313912;TCP;download;8388608;2.827354;-1;-1;10404260;2.9438860503495492E7;2.78661;-1;-1;8411432;2.414814272539035E7;-1.0;0.0;0.0;-1.0;-1;0;false;434400;43738;36892;41436;2.9438860503495492E7
30;1609252324690;1609252328613;TCP;upload;4194304;2.749248;-1;-1;4403910;1.2814878832320692E7;3.062993;-1;-1;3979250;1.039310243281653E7;-1.0;0.0;0.0;-1.0;-1;399;false;754408;652289;38534;239563;1.2814878832320692E7
31;1609252338678;1609252341599;TCP;download;5242880;2.407328;-1;-1;6308216;2.0963378484361082E7;2.361362;-1;-1;5260734;1.78227107914839E7;-1.0;0.0;0.0;-1.0;-1;0;false;267880;39764;34629;36914;2.0963378484361082E7
32;1609252351849;1609252354264;UDP;upload;5242880;1.037232;3621;0;5243208;5055000.231385072;-1.0;-1;-1;-1;-1.0;4.0440001851080574E7;0.0;-1.0;-1.0;-1;-1;false;;;;;
33;1609252364992;1609252368218;TCP;download;9437184;2.724292;-1;-1;11304858;3.3197199125497557E7;2.687795;-1;-1;9453393;2.8137244097857166E7;-1.0;0.0;0.0;-1.0;-1;0;false;486528;38400;37067;37526;3.3197199125497557E7
34;1609252378289;1609252380301;UDP;download;9437184;0.199635;33103;255;47933144;1.9060346732787337E9;0.473657;33103;255;-1;8.095840492170495E8;8.095840492170495E8;0.7703229314563634;0.0;0.00245058728280147;0;-1;false;;;;;
35;1609252391393;1609252395521;TCP;upload;4194304;2.215311;-1;-1;4403910;1.5903536794608071E7;2.959383;-1;-1;3421020;9247927.693036014;-1.0;0.0;0.0;-1.0;-1;0;false;2423952;906643;48245;437701;1.5903536794608071E7
36;1609252405596;1609252407815;UDP;upload;4194304;0.438401;2897;0;4194856;9568536.568119142;-1.0;-1;-1;-1;-1.0;7.654829254495314E7;0.0;-1.0;-1.0;-1;-1;false;;;;;
37;1609252419696;1609252422917;UDP;download;2097152;0.013209;80874;34981;117105552;4.024714300855477E10;1.00062;80874;34981;-1;9.362639323619355E8;9.362639323619355E8;43.25370329153993;43.0;0.007703395659820282;0;-1;false;;;;;
38;1609252432953;1609252436472;UDP;download;10485760;0.491453;60227;2549;87208696;1.3595236004256766E9;0.823941;60227;2549;-1;8.467469976612402E8;8.467469976612402E8;4.232321052019858;4.0;0.05309722690301767;454;-1;false;;;;;
39;1609252447062;1609252450283;TCP;upload;7340032;2.248447;-1;-1;7525480;2.6775743435357828E7;2.547106;-1;-1;6499776;2.041462271299271E7;-1.0;0.0;0.0;-1.0;-1;0;false;4268704;661735;44252;415902;2.6775743435357828E7
40;1609252460345;1609252462659;TCP;upload;5242880;1.510267;-1;-1;5504940;2.916008891143089E7;1.856217;-1;-1;4305736;1.8557037242951658E7;-1.0;0.0;0.0;-1.0;-1;9;false;2296528;328584;41994;185687;2.916008891143089E7
41;1609252473444;1609252480087;TCP;download;10485760;6.03155;-1;-1;11038104;1.464048743689433E7;5.9889;-1;-1;10495104;1.4019407904623553E7;-1.0;0.0;0.0;-1.0;-1;27;false;125976;38611;33687;35593;1.464048743689433E7
