counter;timestampStart;timestampEnd;protocol;direction;filesize;senderTime;senderPackets;senderLostPackets;senderBytes;senderThroughput;receiverTime;receiverPackets;receiverLostPackets;receiverBytes;receiverThroughput;rawThroughput;senderPacketloss;revceiverPacketloss;receiverJitter;receiverOutOfOrder;senderRetransmits;speedtestTimeout;tcp_max_cwnd_0;tcp_max_rtt_0;tcp_min_rtt_0;tcp_mean_rtt_0;bits_per_second_0
6;1608301201149;1608301205679;TCP;upload;10485760;3.796938;-1;-1;10922688;2.30136768101033E7;3.959694;-1;-1;9923048;2.00481107883589E7;-1.0;0.0;0.0;-1.0;-1;1;false;4526448;1427173;39529;680939;2.30136768101033E7
7;1608301215778;1608301217097;TCP;upload;5242880;0.708185;-1;-1;5498992;6.211927109441742E7;0.891923;-1;-1;4773232;4.2812951342212275E7;-1.0;0.0;0.0;-1.0;-1;0;false;3553392;281931;32619;148305;6.211927109441742E7
8;1608301228883;1608301229896;UDP;download;10485760;0.16982;25558;2420;37007984;1.5783217053350606E9;0.388811;25558;2420;-1;7.614596089102417E8;7.614596089102417E8;9.46865951952422;9.0;0.00953412237032166;0;-1;false;;;;;
9;1608301241976;1608301242581;UDP;download;2097152;0.028387;9912;2272;14352576;3.1176862648395395E9;0.153667;9912;2272;-1;7.472040711408435E8;7.472040711408435E8;22.92171105730428;22.0;0.019346009821352525;0;-1;false;;;;;
10;1608301255065;1608301256072;UDP;download;9437184;0.159737;20480;1777;29655040;1.3563266619505813E9;0.386128;20480;1777;-1;6.144084863050594E8;6.144084863050594E8;8.6767578125;8.0;0.013922450544727256;0;-1;false;;;;;
11;1608301268169;1608301269780;TCP;upload;6291456;1.0674;-1;-1;6605970;4.95107363687465E7;1.147732;-1;-1;5932682;4.135238540007598E7;-1.0;0.0;0.0;-1.0;-1;5;false;2364584;170492;37476;120145;4.95107363687465E7
12;1608301281304;1608301283618;UDP;download;1048576;0.071706;49607;1911;71830936;7.705219423758122E9;0.784039;49607;1911;-1;7.32932275052644E8;7.32932275052644E8;3.8522789122502874;3.0;0.13944585426870568;0;-1;false;;;;;
13;1608301294430;1608301295940;UDP;download;3145728;0.109324;26496;2516;38366208;2.5409271523178806E9;0.409134;26496;2516;-1;7.501934916188828E8;7.501934916188828E8;9.495772946859903;9.0;0.39886996782081247;0;-1;false;;;;;
14;1608301307531;1608301309343;UDP;download;6291456;0.294013;39676;3081;57450848;1.4418290347705712E9;0.615883;39676;3081;-1;7.462566493960704E8;7.462566493960704E8;7.765399737876802;7.0;0.10173550607857615;0;-1;false;;;;;
15;1608301320627;1608301322346;UDP;download;3145728;0.115818;29359;2527;42511832;2.683709682432782E9;0.429768;29359;2527;-1;7.913447627557194E8;7.913447627557194E8;8.607241391055554;8.0;0.02494012360075274;0;-1;false;;;;;
16;1608301333734;1608301334342;UDP;upload;524288;0.009927;363;31;525624;4.842711796111615E7;-1.0;-1;-1;-1;-1.0;4.235914173466304E8;8.539944903581267;-1.0;-1.0;-1;-1;false;;;;;
17;1608301346845;1608301347357;TCP;upload;104858;0.001818;-1;-1;110040;4.8422442244224423E8;0.064357;-1;-1;6316;785120.499712541;-1.0;0.0;0.0;-1.0;-1;0;false;14480;35265;35265;35265;4.8422442244224423E8
18;1608301360125;1608301365147;UDP;download;6291456;0.882957;156487;1766;226593176;2.0298701567573507E9;1.499833;156487;1766;-1;1.2086314996402934E9;1.2086314996402934E9;1.1285282483528982;1.0;0.0184173660859751;0;-1;false;;;;;
19;1608301375199;1608301378018;UDP;upload;10485760;1.002689;7242;0;10486416;1.0458293648379508E7;-1.0;-1;-1;-1;-1.0;8.366634918703607E7;0.0;-1.0;-1.0;-1;-1;false;;;;;
20;1608301389341;1608301392458;TCP;download;7340032;2.5355;-1;-1;9116312;2.8763753105896275E7;2.488486;-1;-1;7346808;2.361856325492689E7;-1.0;0.0;0.0;-1.0;-1;0;false;383720;74961;36846;49899;2.8763753105896275E7
21;1608301402565;1608301403372;TCP;upload;1048576;0.290494;-1;-1;1100820;3.0315806866923243E7;0.356682;-1;-1;994226;2.229943759427165E7;-1.0;0.0;0.0;-1.0;-1;0;false;528520;74449;35569;54103;3.0315806866923243E7
22;1608301415665;1608301416172;UDP;upload;104858;0.003158;73;0;105704;3.3471817606079794E7;-1.0;-1;-1;-1;-1.0;2.6777454084863836E8;0.0;-1.0;-1.0;-1;-1;false;;;;;
23;1608301428770;1608301429880;UDP;upload;7340032;0.53954;5070;0;7341360;1.3606702005412018E7;-1.0;-1;-1;-1;-1.0;1.0885361604329614E8;0.0;-1.0;-1.0;-1;-1;false;;;;;
24;1608301441875;1608301443394;TCP;upload;7340032;1.041763;-1;-1;7707000;5.91842866371718E7;1.105472;-1;-1;7116488;5.15000868407341E7;-1.0;0.0;0.0;-1.0;-1;3;false;2496352;117676;29422;77941;5.91842866371718E7
25;1608301455011;1608301459533;UDP;upload;5242880;2.477939;3621;0;5243208;2115955.235379079;-1.0;-1;-1;-1;-1.0;1.692764188303263E7;0.0;-1.0;-1.0;-1;-1;false;;;;;
26;1608301469591;1608301471412;TCP;upload;4194304;1.002886;-1;-1;4403910;3.512989512267596E7;1.27726;-1;-1;3484732;2.18262969168376E7;-1.0;0.0;0.0;-1.0;-1;0;false;2452912;416609;34390;211450;3.512989512267596E7
27;1608301482743;1608301484856;UDP;download;2097152;0.043985;36472;2359;52811456;8.984085301807434E9;0.403225;36472;2359;-1;1.0477813826027652E9;1.0477813826027652E9;6.467975433209037;6.0;0.01450452569847665;0;-1;false;;;;;
28;1608301495845;1608301496853;TCP;upload;3145728;0.404572;-1;-1;3302880;6.531109419336978E7;0.57213;-1;-1;2724856;3.810121475888347E7;-1.0;0.0;0.0;-1.0;-1;0;false;1582664;133800;31987;81891;6.531109419336978E7
29;1608301508962;1608301510877;TCP;upload;2097152;1.1283;-1;-1;2201850;1.5611805370911991E7;1.55027;-1;-1;1886298;9734036.0066311;-1.0;0.0;0.0;-1.0;-1;0;false;957128;548904;38420;306842;1.5611805370911991E7
